token	class
মহানবী	PLAIN
(	SYMBOL
সা.	ABBREVIATION
)	SYMBOL
–	SYMBOL
এর	PLAIN
হিজরত	PLAIN
কেন	PLAIN
মদিনায়	PLAIN
হলো	PLAIN
?	SYMBOL
<eos>	<eos>
লে.	ABBREVIATION
ফারজানা	PLAIN
খাতুন	PLAIN
<eos>	<eos>
মোছাঃ	ABBREVIATION
আয়েশা	PLAIN
সিদ্দিকা	PLAIN
<eos>	<eos>
৫৫৮	CARDINAL
খ্রিঃপূঃ	ABBREVIATION
–	SYMBOL
৪৯১	CARDINAL
খ্রিঃপূঃ	ABBREVIATION
<eos>	<eos>
মহানবী	PLAIN
হযরত	PLAIN
মুহাম্মদ	PLAIN
(	SYMBOL
সা.	ABBREVIATION
)	SYMBOL
–	SYMBOL
এর	PLAIN
জীবনী	PLAIN
<eos>	<eos>
জনাব	PLAIN
ড.	ABBREVIATION
মোঃ	ABBREVIATION
নুরুজ্জামান	PLAIN
এর	PLAIN
অনাপত্তি	PLAIN
সনদ	PLAIN
(	SYMBOL
NOC	ACRONYM
)	SYMBOL
<eos>	<eos>
সড়ক	PLAIN
বাধ	PLAIN
নির্মাণের	PLAIN
পরিমাণ	PLAIN
১২.৮৭	DECIMAL
লক্ষ	PLAIN
ঘ.মি.	ABBREVIATION
<eos>	<eos>
আয়তন	PLAIN
১২.৮৭	DECIMAL
ঘ.মি.	ABBREVIATION
<eos>	<eos>
N	PLAIN
অক্ষাংশে	PLAIN
গ্রিনল্যান্ডের	PLAIN
অবস্থান	PLAIN
।	SYMBOL
<eos>	<eos>
৮৯	CARDINAL
ডিগ্রী	PLAIN
৫২	CARDINAL
মি:	ABBREVIATION
পূর্ব	PLAIN
দ্রাঘিমাংশ	PLAIN
<eos>	<eos>
বাক্স	PLAIN
ও	PLAIN
মেঝের	PLAIN
মধ্যকার	PLAIN
ঘর্ষণ	PLAIN
বলের	PLAIN
মান	PLAIN
1.5	DECIMAL
N	SYMBOL
।	SYMBOL
<eos>	<eos>
মি.	ABBREVIATION
শোইগুর	PLAIN
জন্ম	PLAIN
রুশ-মঙ্গোলিয়ান	PLAIN
সীমান্তের	PLAIN
ছোট্ট	PLAIN
একটি	PLAIN
গ্রামে	PLAIN
।	SYMBOL
<eos>	<eos>
এরপর	PLAIN
৩০	CARDINAL
মি.	ABBREVIATION
ধরে	PLAIN
৬২.৮	DECIMAL
ডিগ্রী	PLAIN
সেলসিয়াস	PLAIN
তাপমাত্রায়	PLAIN
চালনা	PLAIN
করা	PLAIN
হয়	PLAIN
।	SYMBOL
<eos>	<eos>
মাটি	PLAIN
কুপিয়ে	PLAIN
১	CARDINAL
মি.	ABBREVIATION
আকারের	PLAIN
বেড	PLAIN
বা	PLAIN
কেয়ারি	PLAIN
তৈরি	PLAIN
করা	PLAIN
হয়	PLAIN
।	SYMBOL
<eos>	<eos>
৪.৯	DECIMAL
মিটার	PLAIN
উচ্চতা	PLAIN
হতে	PLAIN
মুক্তভাবে	PLAIN
পড়ন্ত	PLAIN
বস্তুর	PLAIN
ভূমিতে	PLAIN
স্পর্শ	PLAIN
করতে	PLAIN
সময়	PLAIN
লাগে	PLAIN
১	CARDINAL
সে.	ABBREVIATION
।	SYMBOL
<eos>	<eos>
সালোকসংশ্লেষণ	PLAIN
প্রক্রিয়ার	PLAIN
জন্য	PLAIN
পরিমিত	PLAIN
তাপমাত্রা	PLAIN
২২	CARDINAL
-	SYMBOL
৩৫	CARDINAL
ডিগ্রী	PLAIN
সে.	ABBREVIATION
।	SYMBOL
<eos>	<eos>
এনবিআরের	ACRONYM
চেয়ারম্যান	PLAIN
আবু	PLAIN
হেনা	PLAIN
মো.	ABBREVIATION
রহমাতুল	PLAIN
মুনিম	PLAIN
<eos>	<eos>
এরপর	PLAIN
মাটি	PLAIN
কুপিয়ে	PLAIN
১	CARDINAL
মি.	ABBREVIATION
আকারের	PLAIN
বেড	PLAIN
বা	PLAIN
কেয়ারি	PLAIN
তৈরি	PLAIN
করতে	PLAIN
হবে	PLAIN
।	SYMBOL
<eos>	<eos>
দুধে	PLAIN
জীবাণু	PLAIN
ধ্বংস	PLAIN
কল্পে	PLAIN
দুধের	PLAIN
প্রত্যেক	PLAIN
কণাতে	PLAIN
১৪৫	CARDINAL
ফা:	ABBREVIATION
(	SYMBOL
৬২.৮	DECIMAL
)	SYMBOL
তাপমাত্রায়	PLAIN
৩০	CARDINAL
মি.	ABBREVIATION
সময়কাল	PLAIN
<eos>	<eos>
ড.	ABBREVIATION
আক্তার	PLAIN
হামিদ	PLAIN
খানের	PLAIN
নেতৃত্বে	PLAIN
কুমিল্লায়	PLAIN
পল্লী	PLAIN
উন্নয়ন	PLAIN
একাডেমি	PLAIN
প্রতিষ্ঠা	PLAIN
<eos>	<eos>
মি.	ABBREVIATION
বানসাল	PLAIN
একতলায়	PLAIN
থাকেন	PLAIN
<eos>	<eos>
আলহাজ্ব	PLAIN
মোঃ	ABBREVIATION
সলু	PLAIN
উপস্থিত	PLAIN
ছিলেন	PLAIN
<eos>	<eos>
কৃষি	PLAIN
বিপণন	PLAIN
অধিদপ্তরের	PLAIN
তথ্যমতে	PLAIN
৭	CARDINAL
আগস্ট	PLAIN
২০২৪	DATE
খ্রি.	ABBREVIATION
তারিখে	PLAIN
ঢাকার	PLAIN
বাজারদর	PLAIN
<eos>	<eos>
মো:	ABBREVIATION
সিরাজুল	PLAIN
হক	PLAIN
ভূঁইয়া	PLAIN
<eos>	<eos>
এনার্জি	PLAIN
মিটার	PLAIN
রিডিং	PLAIN
(	SYMBOL
কি.ও.ঘ.	ABBREVIATION
)	SYMBOL
<eos>	<eos>
লে.	ABBREVIATION
কর্নেল	PLAIN
মইনুল	PLAIN
ইসলাম	PLAIN
কে	PLAIN
চাকরি	PLAIN
থেকে	PLAIN
অবসর	PLAIN
প্রদান	PLAIN
।	SYMBOL
<eos>	<eos>
অ্যাড.	ABBREVIATION
কামরুল	PLAIN
আহসান	PLAIN
(	SYMBOL
মহারাজ	PLAIN
)	SYMBOL
<eos>	<eos>
বাংলাদেশে	PLAIN
ড.	ABBREVIATION
মুহাম্মদ	PLAIN
ইউনূসের	PLAIN
নেতৃত্বে	PLAIN
যে	PLAIN
অন্তর্বর্তী	PLAIN
সরকার	PLAIN
<eos>	<eos>
জাপানের	PLAIN
সাবেক	PLAIN
প্রধানমন্ত্রী	PLAIN
মি.	ABBREVIATION
শিনজো	PLAIN
আবে	PLAIN
আততায়ীর	PLAIN
হাতে	PLAIN
নিহত	PLAIN
হওয়ায়	PLAIN
শোকপ্রস্তাব	PLAIN
<eos>	<eos>
গ্রামীণ	PLAIN
রাস্তায়	PLAIN
কম/বেশী	PLAIN
১৫	CARDINAL
মি:	ABBREVIATION
দৈর্ঘ্যের	PLAIN
সেতু/কালভার্ট	PLAIN
নিমার্ণ	PLAIN
শীর্ষক	PLAIN
প্রকল্পের	PLAIN
অধীনে	PLAIN
২০১৬	DATE
-	SYMBOL
২০১৭	DATE
অর্থ	PLAIN
বছরে	PLAIN
নিমার্ণাধীন	PLAIN
সেতু/কালভার্ট	PLAIN
এর	PLAIN
অর্থ	PLAIN
ছাড়করণ	PLAIN
<eos>	<eos>
প্রতিরক্ষা	PLAIN
বিষয়ক	PLAIN
মন্ত্রী	PLAIN
মি.	ABBREVIATION
শোইগুর	PLAIN
জন্ম	PLAIN
রুশ-মঙ্গোলিয়ান	PLAIN
সীমান্তের	PLAIN
ছোট্ট	PLAIN
একটি	PLAIN
গ্রামে	PLAIN
।	SYMBOL
<eos>	<eos>
মি.	ABBREVIATION
শিনজো	PLAIN
জাপানের	PLAIN
সাবেক	PLAIN
প্রধানমন্ত্রী	PLAIN
<eos>	<eos>
অধ্যাপক	PLAIN
ডা.	ABBREVIATION
মো.	ABBREVIATION
আবু	PLAIN
জাফর	PLAIN
<eos>	<eos>
জনাব	PLAIN
মোঃ	ABBREVIATION
সুজন	PLAIN
সরদারকে	PLAIN
বর্ণিত	PLAIN
ওয়ার্ডে	PLAIN
শুন্য	PLAIN
পদে	PLAIN
নিয়োগ	PLAIN
প্রদান	PLAIN
প্রসঙ্গে	PLAIN
<eos>	<eos>
মেডিকেল	PLAIN
টেকনোলজিষ্ট	PLAIN
(	SYMBOL
ল্যাবঃ	ABBREVIATION
)	SYMBOL
শহীদ	PLAIN
সোহরাওয়ার্দী	PLAIN
মেডিকেল	PLAIN
কলেজ	PLAIN
,	SYMBOL
ঢাকা	PLAIN
<eos>	<eos>
উপ-প্রেস	PLAIN
সচিব	PLAIN
মুহাঃ	ABBREVIATION
শিপলু	PLAIN
জামান	PLAIN
<eos>	<eos>
মহানবী	PLAIN
হযরত	PLAIN
মুহাম্মদ	PLAIN
(	SYMBOL
সা.	ABBREVIATION
)	SYMBOL
এর	PLAIN
জীবনী	PLAIN
থেকে	PLAIN
আমরা	PLAIN
অনেক	PLAIN
শিক্ষা	PLAIN
পেতে	PLAIN
পারি	PLAIN
।	SYMBOL
<eos>	<eos>
রাসুল	PLAIN
(	SYMBOL
সা.	ABBREVIATION
)	SYMBOL
এর	PLAIN
শিক্ষা	PLAIN
অনুসরণ	PLAIN
করে	PLAIN
চলা	PLAIN
উচিত	PLAIN
সকল	PLAIN
মুসলমানের	PLAIN
।	SYMBOL
<eos>	<eos>
ড.	ABBREVIATION
জাকির	PLAIN
নাইক	PLAIN
বিখ্যাত	PLAIN
ইসলামিক	PLAIN
স্কলার	PLAIN
।	SYMBOL
<eos>	<eos>
ড:	ABBREVIATION
আনিসুজ্জামান	PLAIN
বাংলা	PLAIN
সাহিত্যে	PLAIN
অনেক	PLAIN
অবদান	PLAIN
রেখেছেন	PLAIN
।	SYMBOL
<eos>	<eos>
ডাঃ	ABBREVIATION
মাহমুদ	PLAIN
হাসান	PLAIN
এই	PLAIN
হাসপাতালের	PLAIN
প্রধান	PLAIN
চিকিৎসক	PLAIN
।	SYMBOL
<eos>	<eos>
আমার	PLAIN
বাবা	PLAIN
ডা.	ABBREVIATION
রফিক	PLAIN
আহমেদ	PLAIN
একজন	PLAIN
হৃদরোগ	PLAIN
বিশেষজ্ঞ	PLAIN
।	SYMBOL
<eos>	<eos>
মো.	ABBREVIATION
সিরাজুল	PLAIN
ইসলাম	PLAIN
আমাদের	PLAIN
গ্রামের	PLAIN
একজন	PLAIN
সম্মানিত	PLAIN
ব্যক্তি	PLAIN
।	SYMBOL
<eos>	<eos>
আমার	PLAIN
বড়	PLAIN
ভাই	PLAIN
মোঃ	ABBREVIATION
কামরুল	PLAIN
হাসান	PLAIN
ঢাকা	PLAIN
বিশ্ববিদ্যালয়ে	PLAIN
অধ্যাপনা	PLAIN
করেন	PLAIN
।	SYMBOL
<eos>	<eos>
এড.	ABBREVIATION
রহিম	PLAIN
উদ্দিন	PLAIN
একজন	PLAIN
বিখ্যাত	PLAIN
আইনজীবী	PLAIN
।	SYMBOL
<eos>	<eos>
অ্যাড.	ABBREVIATION
ফারহানা	PLAIN
বেগম	PLAIN
মহিলা	PLAIN
অধিকার	PLAIN
নিয়ে	PLAIN
কাজ	PLAIN
করেন	PLAIN
।	SYMBOL
<eos>	<eos>
মোছা:	ABBREVIATION
আমিনা	PLAIN
খাতুন	PLAIN
আমাদের	PLAIN
স্কুলের	PLAIN
প্রধান	PLAIN
শিক্ষিকা	PLAIN
।	SYMBOL
<eos>	<eos>
মোছাঃ	ABBREVIATION
রেহানা	PLAIN
পারভীন	PLAIN
একজন	PLAIN
সফল	PLAIN
উদ্যোক্তা	PLAIN
।	SYMBOL
<eos>	<eos>
খ্রি.	ABBREVIATION
১৯৭১	DATE
সালে	PLAIN
বাংলাদেশ	PLAIN
স্বাধীনতা	PLAIN
লাভ	PLAIN
করে	PLAIN
।	SYMBOL
<eos>	<eos>
খ্রীষ্টপূর্ব	PLAIN
৩০০০	DATE
খ্রী.	ABBREVIATION
সময়ে	PLAIN
সিন্ধু	PLAIN
