	
০	CARDINAL
-	SYMBOL
২৫	CARDINAL
বছর	PLAIN
বয়সীরা	PLAIN
মোট	PLAIN
জনসংখ্যার	PLAIN
৬০	CARDINAL
%	SYMBOL
।	SYMBOL
<eos>	<eos>
৩	CARDINAL
-	SYMBOL
০	CARDINAL
গোলে	PLAIN
জিতল	PLAIN
আর্জেন্টিনা	PLAIN
।	SYMBOL
<eos>	<eos>
চাঁদে	PLAIN
রাতের	PLAIN
তাপমাত্রা	PLAIN
-	SYMBOL
১৭৩	CARDINAL
ডিগ্রি	PLAIN
সেলসিয়াস	PLAIN
পর্যন্ত	PLAIN
হয়ে	PLAIN
থাকে	PLAIN
।	SYMBOL
<eos>	<eos>
ছাত্রছাত্রীরা	PLAIN
হেঁটে	PLAIN
৫	CARDINAL
/	SYMBOL
৭	CARDINAL
কিলোমিটার	PLAIN
দূর-দূরান্ত	PLAIN
হতে	PLAIN
আসে	PLAIN
।	SYMBOL
<eos>	<eos>
সুগারবিট	PLAIN
জাতগুলোর	PLAIN
ফলন	PLAIN
৮০	CARDINAL
-	SYMBOL
৯০	CARDINAL
টন	PLAIN
/	SYMBOL
হেক্টর	PLAIN
।	SYMBOL
<eos>	<eos>
জনশুমারি	PLAIN
ও	PLAIN
গৃহগণনা	PLAIN
২০২২	DATE
-	SYMBOL
এর	PLAIN
প্রাথমিক	PLAIN
প্রতিবেদন	PLAIN
অনুসারে	PLAIN
,	SYMBOL
নারী	PLAIN
ও	PLAIN
পুরুষের	PLAIN
অনুপাত	PLAIN
১০০	CARDINAL
:	SYMBOL
৯৯	CARDINAL
।	SYMBOL
<eos>	<eos>
বাংলাদেশের	PLAIN
গড়	PLAIN
তাপমাত্রা	PLAIN
২৫	CARDINAL
°	SYMBOL
সেলসিয়াস	PLAIN
।	SYMBOL
<eos>	<eos>
বাংলাদেশের	PLAIN
মাঝামাঝি	PLAIN
স্থান	PLAIN
দিয়ে	PLAIN
কর্কটক্রান্তি	PLAIN
রেখা	PLAIN
(	SYMBOL
২৩	CARDINAL
°	SYMBOL
৫	CARDINAL
`	SYMBOL
)	SYMBOL
অতিক্রম	PLAIN
করেছে	PLAIN
।	SYMBOL
<eos>	<eos>
চুম্বকের	PLAIN
উত্তর	PLAIN
মেরুর	PLAIN
দিকে	PLAIN
নির্দেশ	PLAIN
করার	PLAIN
জন্য	PLAIN
কম্পাসে	PLAIN
N	PLAIN
চিহ্নটি	PLAIN
ব্যবহার	PLAIN
করা	PLAIN
হয়	PLAIN
।	SYMBOL
<eos>	<eos>
জাতীয়	PLAIN
ডোমেইন	PLAIN
:	SYMBOL
.bd	ELECTRONIC
<eos>	<eos>
সম্প্রতি	PLAIN
বিভিন্ন	PLAIN
মোবাইল	PLAIN
নাম্বার	PLAIN
হতে	PLAIN
ফোন	PLAIN
করে	PLAIN
প্রতারক	PLAIN
চক্র	PLAIN
মন্ত্রণালয়ের	PLAIN
কর্মকর্তা	PLAIN
/	SYMBOL
কর্মচারী	PLAIN
হিসেবে	PLAIN
পরিচয়	PLAIN
প্রদান	PLAIN
করছে	PLAIN
।	SYMBOL
<eos>	<eos>
৳	SYMBOL
২০০	MONEY
মূল্যমানের	PLAIN
নোট	PLAIN
প্রথম	PLAIN
প্রচলিত	PLAIN
হয়	PLAIN
১৭	CARDINAL
মার্চ	PLAIN
,	SYMBOL
২০২০	DATE
সালে	PLAIN
।	SYMBOL
<eos>	<eos>
এক	PLAIN
টাকা	PLAIN
নোটের	PLAIN
মাত্রা	PLAIN
৯৯	CARDINAL
×	SYMBOL
৬০	CARDINAL
<eos>	<eos>
যেখানে	PLAIN
০	CARDINAL
-	SYMBOL
২৫	CARDINAL
বছর	PLAIN
বয়সীরা	PLAIN
মোট	PLAIN
জনসংখ্যার	PLAIN
৬০	CARDINAL
শতাংশ	PLAIN
<eos>	<eos>
উত্তর	PLAIN
চর	PLAIN
সাজাই	PLAIN
গুচ্ছগ্রামে	PLAIN
৪০	CARDINAL
-	SYMBOL
৪৫	CARDINAL
টি	PLAIN
পরিবার	PLAIN
বসবাস	PLAIN
করে	PLAIN
।	SYMBOL
<eos>	<eos>
ভৌগোলিকভাবে	PLAIN
পৃথিবীর	PLAIN
বৃহত্তম	PLAIN
ব-দ্বীপের	PLAIN
সিংহভাগ	PLAIN
